root@xw607_dz_ap0002_v4:/data/python_files/bin # lsof
COMMAND     PID       USER   FD      TYPE             DEVICE  SIZE/OFF       NODE NAME
logcat      417       root  mem       ???              b3:0a         0      49250 /system/lib/libm.so
logcat      417       root  mem       ???              b3:0a     98304      49250 /system/lib/libm.so
logcat      417       root  mem       ???              b3:0a    102400      49250 /system/lib/libm.so
logcat      417       root  mem       ???              b3:0a         0      49282 /system/lib/libstdc++.so
logcat      417       root  mem       ???              b3:0a         0      49282 /system/lib/libstdc++.so
logcat      417       root  mem       ???              b3:0a      4096      49282 /system/lib/libstdc++.so
logcat      417       root  mem       ???              b3:0a         0      49188 /system/lib/libc.so
sh          489       root  exe       ???                ???       ???        ??? /system/bin/mksh
sh          489       root    1       ???                ???       ???        ??? /dev/null
sh          489       root    2       ???                ???       ???        ??? /dev/null
sh          489       root    8       ???                ???       ???        ??? /dev/__properties__
sh          489       root   10       ???                ???       ???        ??? /system/bin/check_1860_state.sh
sh          489       root   11       ???                ???       ???        ??? /dev/null
sh          489       root  mem       ???              00:0c         0       1947 /dev/__properties__
sh          489       root  mem       ???              b3:0a         0      49188 /system/lib/libc.so
sh          491       root  exe       ???                ???       ???        ??? /system/bin/mksh
sh          491       root    0       ???                ???       ???        ??? /dev/null
sh          491       root    1       ???                ???       ???        ??? /dev/null
sh          491       root    2       ???                ???       ???        ??? /dev/null
sh          491       root    8       ???                ???       ???        ??? /dev/__properties__
sh          491       root   10       ???                ???       ???        ??? /system/bin/wifi_profiled_debug.sh
sh          491       root  mem       ???              00:0c         0       1947 /dev/__properties__
sh          491       root  mem       ???              b3:0a         0      49188 /system/lib/libc.so
python      496       root  exe       ???                ???       ???        ??? /data/python_files/bin/python
